[2026-06-23 16:11:43] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Register | Status: 200 | Time: 98ms
[2026-06-23 16:11:43] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:11:45] IP: 127.0.0.1 | User: testuser_1782231103@hotel.local (User) | Method: POST | Path: /Account/Register | Status: 302 | Time: 149ms
[2026-06-23 16:11:45] IP: 127.0.0.1 | User: testuser_1782231103@hotel.local (User) | Method: GET | Path: / | Status: 200 | Time: 116ms
[2026-06-23 16:11:45] IP: 127.0.0.1 | User: testuser_1782231103@hotel.local (User) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:11:47] IP: 127.0.0.1 | User: testuser_1782231103@hotel.local (User) | Method: GET | Path: /hoteli | Status: 200 | Time: 23ms
[2026-06-23 16:11:47] IP: 127.0.0.1 | User: testuser_1782231103@hotel.local (User) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:11:47] IP: 127.0.0.1 | User: testuser_1782231103@hotel.local (User) | Method: GET | Path: /Setup | Status: 302 | Time: 2ms
[2026-06-23 16:11:47] IP: 127.0.0.1 | User: testuser_1782231103@hotel.local (User) | Method: GET | Path: /Account/AccessDenied?ReturnUrl=%2FSetup | Status: 404 | Time: 1ms
[2026-06-23 16:12:47] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Register | Status: 200 | Time: 101ms
[2026-06-23 16:12:47] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:12:49] IP: 127.0.0.1 | User: testuser_1782231167@hotel.local (User) | Method: POST | Path: /Account/Register | Status: 302 | Time: 166ms
[2026-06-23 16:12:49] IP: 127.0.0.1 | User: testuser_1782231167@hotel.local (User) | Method: GET | Path: / | Status: 200 | Time: 120ms
[2026-06-23 16:12:49] IP: 127.0.0.1 | User: testuser_1782231167@hotel.local (User) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:12:51] IP: 127.0.0.1 | User: testuser_1782231167@hotel.local (User) | Method: GET | Path: /hoteli | Status: 200 | Time: 22ms
